,Nome,Co,Fe,Ni,Si,Al,Cr,Mo,Nb,Ti,C,V,Zr,Mn,Cu,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Ref.,Type of phases,r# (g/cm3),HV,Type of tests,sy (MPa),smax (MPa),e (%),E# (GPa)
162,Al0.5CoCrCuFeNi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,38,FCC,7.6,215,,,,,193
163,Al0.8CoCrCuFeNi,17.24137931,17.24137931,17.24137931,,13.79310345,17.24137931,,,,,,,,17.24137931,,,,,,,,,,,21,FCC + BCC,7.3,270,,,,,187
164,Al0.8CoCrCuFeNi,17.24137931,17.24137931,17.24137931,,13.79310345,17.24137931,,,,,,,,17.24137931,,,,,,,,,,,34,FCC,7.3,270,,,,,187
165,AlCoCrCuFeNi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,34,FCC + BCC,7.1,406,C,950,,,183
166,AlCoCrCuFeNi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,39,FCC + BCC,7.1,472,,,,,184
167,AlCoCrCuFeNi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,40,FCC + BCC,7.1,,C,1303,,24,183
168,AlCoCrCuFeMnNi,14.28571429,14.28571429,14.28571429,,14.28571429,14.28571429,,,,,,,14.28571429,14.28571429,,,,,,,,,,,40,FCC + BCC + Im,7.1,,C,1005,,15,
169,AlCoCrCuFeNiTi,14.28571429,14.28571429,14.28571429,,14.28571429,14.28571429,,,14.28571429,,,,,14.28571429,,,,,,,,,,,40,FCC + BCC,6.6,,C,1234,,9,174
170,AlCoCrCuFeNiV,14.28571429,14.28571429,14.28571429,,14.28571429,14.28571429,,,,,14.28571429,,,14.28571429,,,,,,,,,,,40,FCC + BCC,6.9,,C,1469,,16,175
171,Al1.3CoCrCuFeNi,15.87301587,15.87301587,15.87301587,,20.63492063,15.87301587,,,,,,,,15.87301587,,,,,,,,,,,34,FCC + BCC,6.8,470,,,,,178
172,Al1.5CoCrCuFeNi,15.38461538,15.38461538,15.38461538,,23.07692308,15.38461538,,,,,,,,15.38461538,,,,,,,,,,,34,FCC + BCC,6.6,506,,,,,133
173,Al1.8CoCrCuFeNi,14.70588235,14.70588235,14.70588235,,26.47058824,14.70588235,,,,,,,,14.70588235,,,,,,,,,,,34,FCC + BCC,6.4,650,,,,,170
174,Al2CoCrCuFeNi,14.28571429,14.28571429,14.28571429,,28.57142857,14.28571429,,,,,,,,14.28571429,,,,,,,,,,,34,FCC + BCC,6.3,560,C,1620,,,167
175,Al2.3CoCrCuFeNi,13.69863014,13.69863014,13.69863014,,31.50684932,13.69863014,,,,,,,,13.69863014,,,,,,,,,,,34,FCC + BCC,6.1,600,,,,,163
176,Al2.5CoCrCuFeNi,13.33333333,13.33333333,13.33333333,,33.33333333,13.33333333,,,,,,,,13.33333333,,,,,,,,,,,34,FCC + BCC,6.0,620,,,,,161
177,Al2.8CoCrCuFeNi,12.82051282,12.82051282,12.82051282,,35.8974359,12.82051282,,,,,,,,12.82051282,,,,,,,,,,,34,BCC,5.8,650,,,,,157
178,Al3CoCrCuFeNi,12.5,12.5,12.5,,37.5,12.5,,,,,,,,12.5,,,,,,,,,,,41,BCC,5.7,640,,,,,153
179,Al0.5B0.2CoCrCuFeNi,17.54385965,17.54385965,17.54385965,,8.771929825,17.54385965,,,,,,,,17.54385965,3.50877193,,,,,,,,,,36,,7.7,415,,,,,
180,Al0.5B0.6CoCrCuFeNi,16.39344262,16.39344262,16.39344262,,8.196721311,16.39344262,,,,,,,,16.39344262,9.836065574,,,,,,,,,,36,,7.7,505,,,,,
181,Al0.5BCoCrCuFeNi,15.38461538,15.38461538,15.38461538,,7.692307692,15.38461538,,,,,,,,15.38461538,15.38461538,,,,,,,,,,36,,7.8,736,,,,,
182,Al0.5CoCrCu0.5FeNiTi0.5,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,9.090909091,,,,,9.090909091,,,,,,,,,,,25,FCC + BCC,7.1,,C,1580,2389,17,161
183,Al0.5CoCrCuFeNiTi0.2,17.54385965,17.54385965,17.54385965,,8.771929825,17.54385965,,,3.50877193,,,,,17.54385965,,,,,,,,,,,37,FCC,7.5,272,,,,,191
184,Al0.5CoCrCuFeNiTi0.4,16.94915254,16.94915254,16.94915254,,8.474576271,16.94915254,,,6.779661017,,,,,16.94915254,,,,,,,,,,,37,FCC,7.3,321,,,,,188
185,Al0.5CoCrCuFeNiTi0.6,16.39344262,16.39344262,16.39344262,,8.196721311,16.39344262,,,9.836065574,,,,,16.39344262,,,,,,,,,,,37,FCC + BCC,7.2,458,,,,,186
186,Al0.5CoCrCuFeNiTi0.8,15.87301587,15.87301587,15.87301587,,7.936507937,15.87301587,,,12.6984127,,,,,15.87301587,,,,,,,,,,,37,FCC + BCC,7.1,590,,,,,184
187,Al0.5CoCrCuFeNiTi,15.38461538,15.38461538,15.38461538,,7.692307692,15.38461538,,,15.38461538,,,,,15.38461538,,,,,,,,,,,37,FCC + BCC + Im,7.0,636,,,,,
188,Al0.5CoCrCuFeNiTi1.2,14.92537313,14.92537313,14.92537313,,7.462686567,14.92537313,,,17.91044776,,,,,14.92537313,,,,,,,,,,,37,FCC + BCC + Im,6.9,646,,,,,
189,Al0.5CoCrCuFeNiTi1.4,14.49275362,14.49275362,14.49275362,,7.246376812,14.49275362,,,20.28985507,,,,,14.49275362,,,,,,,,,,,37,FCC + BCC + Im,6.8,664,,,,,
190,Al0.5CoCrCuFeNiTi1.6,14.08450704,14.08450704,14.08450704,,7.042253521,14.08450704,,,22.53521127,,,,,14.08450704,,,,,,,,,,,37,FCC + BCC + Im,6.7,657,,,,,
191,Al0.5CoCrCuFeNiTi1.8,13.69863014,13.69863014,13.69863014,,6.849315068,13.69863014,,,24.65753425,,,,,13.69863014,,,,,,,,,,,37,FCC + BCC + Im,6.6,667,,,,,
192,Al0.5CoCrCuFeNiTi2,13.33333333,13.33333333,13.33333333,,6.666666667,13.33333333,,,26.66666667,,,,,13.33333333,,,,,,,,,,,37,FCC + BCC + Im,6.5,696,,,,,
193,Al0.5CoCrCuFeNiV0.2,17.54385965,17.54385965,17.54385965,,8.771929825,17.54385965,,,,,3.50877193,,,17.54385965,,,,,,,,,,,38,FCC,7.6,204,,,,,191
194,Al0.5CoCrCuFeNiV0.4,16.94915254,16.94915254,16.94915254,,8.474576271,16.94915254,,,,,6.779661017,,,16.94915254,,,,,,,,,,,38,FCC + BCC,7.5,231,,,,,189
195,Al0.5CoCrCuFeNiV0.6,16.39344262,16.39344262,16.39344262,,8.196721311,16.39344262,,,,,9.836065574,,,16.39344262,,,,,,,,,,,38,FCC + BCC + Im,7.5,328,,,,,
196,Al0.5CoCrCuFeNiV0.8,15.87301587,15.87301587,15.87301587,,7.936507937,15.87301587,,,,,12.6984127,,,15.87301587,,,,,,,,,,,38,FCC + BCC + Im,7.4,447,,,,,
197,Al0.5CoCrCuFeNiV1.0,15.38461538,15.38461538,15.38461538,,7.692307692,15.38461538,,,,,15.38461538,,,15.38461538,,,,,,,,,,,38,FCC + BCC + Im,7.4,639,,,,,
198,Al0.5CoCrCuFeNiV1.2,14.92537313,14.92537313,14.92537313,,7.462686567,14.92537313,,,,,17.91044776,,,14.92537313,,,,,,,,,,,38,BCC,7.3,579,,,,,182
199,Al0.5CoCrCuFeNiV1.4,14.49275362,14.49275362,14.49275362,,7.246376812,14.49275362,,,,,20.28985507,,,14.49275362,,,,,,,,,,,38,BCC,7.3,577,,,,,180
200,Al0.5CoCrCuFeNiV1.6,14.08450704,14.08450704,14.08450704,,7.042253521,14.08450704,,,,,22.53521127,,,14.08450704,,,,,,,,,,,38,BCC,7.2,594,,,,,179
201,Al0.5CoCrCuFeNiV1.8,13.69863014,13.69863014,13.69863014,,6.849315068,13.69863014,,,,,24.65753425,,,13.69863014,,,,,,,,,,,38,BCC,7.2,597,,,,,177
202,Al0.5CoCrCuFeNiV2.0,13.33333333,13.33333333,13.33333333,,6.666666667,13.33333333,,,,,26.66666667,,,13.33333333,,,,,,,,,,,38,BCC,7.2,587,,,,,176
203,Al0.75CoCrCu0.25FeNiTi0.5,18.18181818,18.18181818,18.18181818,,13.63636364,18.18181818,,,9.090909091,,,,,4.545454545,,,,,,,,,,,25,FCC + BCC,6.8,,C,1900,2697,12,164
204,AlCoCrCuNiTi,16.66666667,,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,42,BCC,6.4,,C,,1495,8,36
205,AlCoCrCuNiTiY0.5,15.38461538,,15.38461538,,15.38461538,15.38461538,,,15.38461538,,,,,15.38461538,,7.692307692,,,,,,,,,42,Im,6.1,,C,,1025,3,36
206,AlCoCrCuNiTiY0.8,14.70588235,,14.70588235,,14.70588235,14.70588235,,,14.70588235,,,,,14.70588235,,11.76470588,,,,,,,,,42,Im,5.9,,C,,1325,5,38
207,AlCoCrCuNiTiY,14.28571429,,14.28571429,,14.28571429,14.28571429,,,14.28571429,,,,,14.28571429,,14.28571429,,,,,,,,,42,Im,5.8,,C,,1192,4,37
208,AlCoFeNi,25,25,25,,25,,,,,,,,,,,,,,,,,,,,4,BCC,6.6,456,C,964,,,173
209,AlCoFeNiTiVZr,14.28571429,14.28571429,14.28571429,,14.28571429,,,,14.28571429,,14.28571429,14.28571429,,,,,,,,,,,,,27,BCC,6.2,790,,,,,143
210,CoCuFeNi,25,25,25,,,,,,,,,,,25,,,,,,,,,,,43,FCC,8.6,,T,,480,15,188
211,CoCuFeNiSn0.02,24.87562189,24.87562189,24.87562189,,,,,,,,,,,24.87562189,,,0.4975124378,,,,,,,,43,FCC,8.6,,T,,548,17,187
212,CoCuFeNiSn0.04,24.75247525,24.75247525,24.75247525,,,,,,,,,,,24.75247525,,,0.9900990099,,,,,,,,43,FCC + Im,8.6,,T,,594,18,
213,CoCuFeNiSn0.05,24.69135802,24.69135802,24.69135802,,,,,,,,,,,24.69135802,,,1.234567901,,,,,,,,43,FCC + Im,8.6,,T,,615,20,
214,CoCuFeNiSn0.07,24.57002457,24.57002457,24.57002457,,,,,,,,,,,24.57002457,,,1.71990172,,,,,,,,43,FCC + Im,8.6,,T,,632,19,
215,CoCuFeNiSn0.1,24.3902439,24.3902439,24.3902439,,,,,,,,,,,24.3902439,,,2.43902439,,,,,,,,43,FCC + Im,8.6,,T,,602,5,
216,CoCuFeNiSn0.2,23.80952381,23.80952381,23.80952381,,,,,,,,,,,23.80952381,,,4.761904762,,,,,,,,43,FCC + Im,8.5,,T,,261,2,
217,CoCuFeNiSn0.5,22.22222222,22.22222222,22.22222222,,,,,,,,,,,22.22222222,,,11.11111111,,,,,,,,43,FCC + Im,8.3,,,,,,
218,AlCoCuFeNi,20,20,20,,20,,,,,,,,,20,,,,,,,,,,,39,FCC + BCC,7.0,536,,,,,164
219,AlCoCuFeNbNi,16.66666667,16.66666667,16.66666667,,16.66666667,,,16.66666667,,,,,,16.66666667,,,,,,,,,,,39,Im,7.4,578,,,,,
220,AlCoCuFeNiSi,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,,,,,,,,,16.66666667,,,,,,,,,,,39,FCC + BCC,5.9,682,,,,,145
221,AlCoCuFeNiTi,16.66666667,16.66666667,16.66666667,,16.66666667,,,,16.66666667,,,,,16.66666667,,,,,,,,,,,39,FCC + BCC,6.5,626,,,,,156
222,AlCoCuFeNiZr,16.66666667,16.66666667,16.66666667,,16.66666667,,,,,,,16.66666667,,16.66666667,,,,,,,,,,,39,FCC + BCC + Im,6.9,472,,,,,
223,CoCuFeMnNi,20,20,20,,,,,,,,,,20,20,,,,,,,,,,,44,FCC,8.4,208,T,,478,14,190
224,CoCuFeMnNiSn0.03,19.88071571,19.88071571,19.88071571,,,,,,,,,,19.88071571,19.88071571,,,0.5964214712,,,,,,,,44,FCC,8.4,192,T,,465,18,
225,CoCuFeMnNiSn0.05,19.8019802,19.8019802,19.8019802,,,,,,,,,,19.8019802,19.8019802,,,0.9900990099,,,,,,,,44,FCC + Im,8.4,205,T,,475,12,
226,CoCuFeMnNiSn0.08,19.68503937,19.68503937,19.68503937,,,,,,,,,,19.68503937,19.68503937,,,1.57480315,,,,,,,,44,FCC + Im,8.3,219,T,,425,7,
227,CoCuFeMnNiSn0.10,19.60784314,19.60784314,19.60784314,,,,,,,,,,19.60784314,19.60784314,,,1.960784314,,,,,,,,44,FCC + Im,8.3,253,T,,470,6,
228,CoCuFeMnNiSn0.20,19.23076923,19.23076923,19.23076923,,,,,,,,,,19.23076923,19.23076923,,,3.846153846,,,,,,,,44,FCC + Im,8.3,319,T,,368,2,
229,CrCuFeMnNi,,20,20,,,20,,,,,,,20,20,,,,,,,,,,,13,FCC + BCC,8.1,296,,,,,204
230,CrCuFeMoNi,,20,20,,,20,20,,,,,,,20,,,,,,,,,,,13,FCC,8.7,263,,,,,230
231,AlCrCuFeNi0.6,,21.73913043,13.04347826,,21.73913043,21.73913043,,,,,,,,21.73913043,,,,,,,,,,,45,FCC + BCC,6.6,496,,,,,176
232,AlCrCuFeNi0.8,,20.83333333,16.66666667,,20.83333333,20.83333333,,,,,,,,20.83333333,,,,,,,,,,,45,FCC + BCC,6.7,486,,,,,177
233,AlCrCuFeNi,,20,20,,20,20,,,,,,,,20,,,,,,,,,,,45,FCC + BCC,6.8,495,,,,,178
234,AlCrCuFeNi1.2,,19.23076923,23.07692308,,19.23076923,19.23076923,,,,,,,,19.23076923,,,,,,,,,,,45,FCC + BCC,6.8,407,,,,,179
235,AlCrCuFeNi1.4,,18.51851852,25.92592593,,18.51851852,18.51851852,,,,,,,,18.51851852,,,,,,,,,,,45,FCC + BCC,6.9,367,,,,,180
236,AlCrCuFeNi2,,16.66666667,33.33333333,,16.66666667,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,46,FCC + BCC,7.1,,,,,,182
237,AlCrCuFeNiTi,,16.66666667,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,47,BCC + Im,6.3,,C,,1219,,
238,Al0.2CrCuFeNi2,,19.23076923,38.46153846,,3.846153846,19.23076923,,,,,,,,19.23076923,,,,,,,,,,,46,FCC,8.0,,,,,,199
239,Al0.4CrCuFeNi2,,18.51851852,37.03703704,,7.407407407,18.51851852,,,,,,,,18.51851852,,,,,,,,,,,46,FCC,7.8,,,,,,194
240,Al0.6CrCuFeNi2,,17.85714286,35.71428571,,10.71428571,17.85714286,,,,,,,,17.85714286,,,,,,,,,,,46,FCC,7.5,,,,,,190
241,Al0.8CrCuFeNi2,,17.24137931,34.48275862,,13.79310345,17.24137931,,,,,,,,17.24137931,,,,,,,,,,,46,FCC,7.3,,,,,,186
242,Al1.2CrCuFeNi2,,16.12903226,32.25806452,,19.35483871,16.12903226,,,,,,,,16.12903226,,,,,,,,,,,46,FCC + BCC,6.9,,,,,,178
243,AlCrCuFeNi,,20,20,,20,20,,,,,,,,20,,,,,,,,,,,13,FCC + BCC,6.8,342,,,,,178
244,Al1.125CuFe0.75NiTi1.125,,15,20,,22.5,,,,22.5,,,,,20,,,,,,,,,,,48,FCC,5.9,516,C,980,1326,7,145
245,Al22.5Cu20Fe15Ni20Ti22.5,,15,20,,22.5,,,,22.5,,,,,20,,,,,,,,,,,48,FCC,5.9,516,C,980,1326,7,145
246,AlCuFeNiTi,,20,20,,20,,,,20,,,,,20,,,,,,,,,,,48,FCC,6.1,516,C,1074,1617,8,146
247,AlCuNiTi,,,25,,25,,,,25,,,,,25,,,,,,,,,,,48,FCC,5.7,537,C,300,536,< 1,108
248,AlLi0.5MgSn0.2Zn0.5,,,,,31.25,,,,,,,,,,,,6.25,15.625,31.25,15.625,,,,,49,FCC + Im,2.9,,C,546,546,,
249,AlLiMg0.5ScTi1.5,,,,,20,,,,30,,,,,,,,,20,10,,20,,,,50,FCC + HCP,2.7,591,,,,,69
250,AlLiMgSnZn,,,,,20,,,,,,,,,,,,20,20,20,20,,,,,49,FCC + HCP + Im,3.9,,C,600,615,1,
251,Al8Li0.5Mg0.5Sn0.5Zn0.5,,,,,80,,,,,,,,,,,,5,5,5,5,,,,,49,FCC + Im,3.0,,C,415,836,16,
252,Al8Cu0.5Li0.5Mg0.5Zn0.5,,,,,80,,,,,,,,,5,,,,5,5,5,,,,,49,FCC + Im,2.9,,C,488,879,17,
253,AlCu0.2Li0.5MgZn0.5,,,,,31.25,,,,,,,,,6.25,,,,15.625,31.25,15.625,,,,,49,Im,2.7,,,,,,
254,AlCu0.5Li0.5MgSn0.2,,,,,31.25,,,,,,,,,15.625,,,6.25,15.625,31.25,,,,,,49,Im,3.0,,,,,,
255,AlCr0.5NbTiV,,,,,22.22222222,11.11111111,,22.22222222,22.22222222,,22.22222222,,,,,,,,,,,,,,51,BCC,5.6,,C,1300,1430,< 1,124
256,AlCrNbTiV,,,,,20,20,,20,20,,20,,,,,,,,,,,,,,51,BCC + Im,5.8,,C,1550,1570,< 1,
257,AlCr1.5NbTiV,,,,,18.18181818,27.27272727,,18.18181818,18.18181818,,18.18181818,,,,,,,,,,,,,,51,FCC + Im,5.9,,C,1700,1700,< 1,
258,Al0.4Hf0.6NbTaTiZr,,,,,8,,,20,20,,,20,,,,,,,,,,12,20,,52,BCC,9.1,500,C,1841,2269,10,110
259,Al0.3HfNbTaTiZr,,,,,5.660377358,,,18.86792453,18.86792453,,,18.86792453,,,,,,,,,,18.86792453,18.86792453,,53,BCC,9.5,353,C,1188,,50,63
260,Al0.5HfNbTaTiZr,,,,,9.090909091,,,18.18181818,18.18181818,,,18.18181818,,,,,,,,,,18.18181818,18.18181818,,53,BCC,9.3,396,C,1302,,46,97
261,Al0.75HfNbTaTiZr,,,,,13.04347826,,,17.39130435,17.39130435,,,17.39130435,,,,,,,,,,17.39130435,17.39130435,,53,BCC,9.3,427,C,1415,2050,30,102
262,AlHfNbTaTiZr,,,,,16.66666667,,,16.66666667,16.66666667,,,16.66666667,,,,,,,,,,16.66666667,16.66666667,,53,BCC + Im,8.6,441,C,1489,1900,21,103
263,AlMo0.5NbTa0.5TiZr,,,,,20,,10,20,20,,,20,,,,,,,,,,,10,,52,BCC,7.1,591,C,2000,2368,10,123
264,Al0.25MoNbTiV,,,,,5.882352941,,23.52941176,23.52941176,23.52941176,,23.52941176,,,,,,,,,,,,,,54,BCC,7.1,460,C,1250,,13,164
265,Al0.5MoNbTiV,,,,,11.11111111,,22.22222222,22.22222222,22.22222222,,22.22222222,,,,,,,,,,,,,,54,BCC,6.8,487,C,1625,,11,158
266,Al0.75MoNbTiV,,,,,15.78947368,,21.05263158,21.05263158,21.05263158,,21.05263158,,,,,,,,,,,,,,54,BCC,6.6,517,C,1260,,8,154
267,AlMoNbTiV,,,,,20,,20,20,20,,20,,,,,,,,,,,,,,54,BCC,6.4,537,C,1375,,3,150
268,Al0.25NbTaTiV,,,,,5.882352941,,,23.52941176,23.52941176,,23.52941176,,,,,,,,,,,,23.52941176,,55,BCC,8.8,,C,1330,,,92
269,Al0.5NbTaTiV,,,,,11.11111111,,,22.22222222,22.22222222,,22.22222222,,,,,,,,,,,,22.22222222,,55,BCC,8.5,,C,1014,,,97
270,AlNbTaTiV,,,,,20,,,20,20,,20,,,,,,,,,,,,20,,55,BCC,7.9,,C,993,,,101
271,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,,,,,6,,,20,28,,4,26,,,,,,,,,,,16,,52,BCC,7.7,500,C,1965,2061,5,110
272,Al0.5NbTa0.8Ti1.5V0.2Zr,,,,,10,,,20,30,,4,20,,,,,,,,,,,16,,52,BCC,7.6,530,C,2035,2105,5,111
273,Al0.3NbTaTi1.4Zr1.3,,,,,6,,,20,28,,,26,,,,,,,,,,,20,,52,BCC,8.1,490,C,1965,2054,5,113
274,AlNb1.5Ta0.5Ti1.5Zr0.5,,,,,20,,,30,30,,,10,,,,,,,,,,,10,,52,BCC,6.8,408,C,1280,1367,4,106
275,AlNbTiV,,,,,25,,,25,25,,25,,,,,,,,,,,,,,56,BCC,5.5,448,C,1020,1318,5,105
276,AlNbTiV,,,,,25,,,25,25,,25,,,,,,,,,,,,,,51,BCC,5.5,,C,1000,1280,5,105
277,CrHfNbTiZr,,,,,,20,,20,20,,,20,,,,,,,,,,20,,,57,BCC + lm,8.2,455,C,1375,2130,3,112
278,CrMo0.5NbTa0.5TiZr,,,,,,20,10,20,20,,,20,,,,,,,,,,,10,,58,BCC + Im,8.0,540,C,1595,2046,5,
279,CrNbTiVZr,,,,,,20,,20,20,,20,20,,,,,,,,,,,,,59,BCC + Im,6.6,482,C,1298,,3,
280,CrNbTiZr,,,,,,25,,25,25,,,25,,,,,,,,,,,,,59,BCC + Im,6.6,418,C,1260,,6,
281,FeMoNiTiVZr,,16.66666667,16.66666667,,,,16.66666667,,16.66666667,,16.66666667,16.66666667,,,,,,,,,,,,,27,BCC + Im,7.1,740,,,,,
282,Hf0.5Mo0.5NbTiZr,,,,,,,12.5,25,25,,,25,,,,,,,,,,12.5,,,82,BCC + Im,7.9,400,C,1178,,25,
283,Hf0.5Mo0.5NbSi0.1TiZr,,,,2.43902439,,,12.19512195,24.3902439,24.3902439,,,24.3902439,,,,,,,,,,12.19512195,,,82,BCC + Im,7.7,442,C,1365,,28,
284,Hf0.5Mo0.5NbSi0.3TiZr,,,,6.976744186,,,11.62790698,23.25581395,23.25581395,,,23.25581395,,,,,,,,,,11.62790698,,,82,BCC + Im,7.5,494,C,1428,,23,
285,Hf0.5Mo0.5NbSi0.5TiZr,,,,11.11111111,,,11.11111111,22.22222222,22.22222222,,,22.22222222,,,,,,,,,,11.11111111,,,82,BCC + Im,7.2,524,C,1605,,23,
286,Hf0.5Mo0.5NbSi0.7TiZr,,,,14.89361702,,,10.63829787,21.27659574,21.27659574,,,21.27659574,,,,,,,,,,10.63829787,,,82,BCC + Im,7.0,580,C,1604,,12,
287,Hf0.5Mo0.5NbSi0.9TiZr,,,,18.36734694,,,10.20408163,20.40816327,20.40816327,,,20.40816327,,,,,,,,,,10.20408163,,,82,BCC + Im,6.8,640,C,1677,,9,
288,Hf0.5Mo0.5NbTiZrC0.1,,,,,,,12.19512195,24.3902439,24.3902439,2.43902439,,24.3902439,,,,,,,,,,12.19512195,,,61,BCC + lm,7.8,,C,1183,2139,38,
289,Hf0.5Mo0.5NbTiZrC0.3,,,,,,,11.62790698,23.25581395,23.25581395,6.976744186,,23.25581395,,,,,,,,,,11.62790698,,,61,BCC + lm,7.7,,C,1201,1965,33,
290,HfMo0.25NbTaTiZr,,,,,,,4.761904762,19.04761905,19.04761905,,,19.04761905,,,,,,,,,,19.04761905,19.04761905,,62,BCC,9.9,395,C,1112,,50,96
291,HfMo0.5NbTaTiZr,,,,,,,9.090909091,18.18181818,18.18181818,,,18.18181818,,,,,,,,,,18.18181818,18.18181818,,62,BCC,10.0,480,C,1317,,50,102
292,HfMo0.75NbTaTiZr,,,,,,,13.04347826,17.39130435,17.39130435,,,17.39130435,,,,,,,,,,17.39130435,17.39130435,,62,BCC,10.0,492,C,1373,,50,109
293,HfMoNbTaTiZr,,,,,,,16.66666667,16.66666667,16.66666667,,,16.66666667,,,,,,,,,,16.66666667,16.66666667,,63,BCC,10.0,505,C,1512,,12,147
294,HfMoNbTaTiZr,,,,,,,16.66666667,16.66666667,16.66666667,,,16.66666667,,,,,,,,,,16.66666667,16.66666667,,62,BCC,10.0,505,C,1512,,12,115
295,HfMoTaTiZr,,,,,,,20,,20,,,20,,,,,,,,,,20,20,,63,BCC,10.2,542,C,1600,,4,155
296,HfMoNbZrTi,,,,,,,20,20,20,,,20,,,,,,,,,,20,,,64,BCC,8.7,,C,1803,1719,10,139
297,HfNbSi0.5TiV,,,,11.11111111,,,,22.22222222,22.22222222,,22.22222222,,,,,,,,,,,22.22222222,,,65,BCC + lm,8.6,490,C,1399,1608,11,
298,HfNbSi0.5TiVZr,,,,9.090909091,,,,18.18181818,18.18181818,,18.18181818,18.18181818,,,,,,,,,,18.18181818,,,66,BCC + lm,7.8,464,C,1540,1643,17,
299,HfNbTaZr,,,,,,,,25,,,,25,,,,,,,,,,25,25,,67,BCC,11.1,365,C,1315,,,109
300,Hf0.5Nb0.5Ta0.5Ti1.5Zr,,,,,,,,12.5,37.5,,,25,,,,,,,,,,12.5,12.5,,68,BCC,8.1,301,T,903,990,19,107
301,HfNbTaTiZr,,,,,,,,20,20,,,20,,,,,,,,,,20,20,,62,BCC,9.9,335,C,1015,,50,85
302,HfNbTaTiZr,,,,,,,,20,20,,,20,,,,,,,,,,20,20,,53,BCC,9.7,295,C,1073,,50,55
303,HfNbTaTiZr,,,,,,,,20,20,,,20,,,,,,,,,,20,20,,"69, 70",BCC,9.9,390,C,929,,50,111
304,HfNbTiVZr,,,,,,,,20,20,,20,20,,,,,,,,,,20,,,57,BCC + lm,8.1,388,C,1170,1463,30,128
305,HfNbTiZr,,,,,,,,25,25,,,25,,,,,,,,,,25,,,71,BCC,8.4,,T,879,969,15,92
306,MoNbTaV,,,,,,,25,25,,,25,,,,,,,,,,,,25,,72,BCC,10.7,504,C,1525,2400,21,187
307,MoNbTaVW,,,,,,,20,20,,,20,,,,,,,,,,,,20,20,73,BCC,12.4,536,C,1246,1270,2,232
308,MoNbTaW,,,,,,,25,25,,,,,,,,,,,,,,,25,25,73,BCC,13.7,454,C,1058,1211,2,258
309,MoNbTiV,,,,,,,25,25,25,,25,,,,,,,,,,,,,,54,BCC,7.3,441,C,1200,,26,170
310,Mo0.3NbTiVZr,,,,,,,6.976744186,23.25581395,23.25581395,,23.25581395,23.25581395,,,,,,,,,,,,,74,BCC,6.7,,C,1289,,42,
311,Mo0.5NbTiVZr,,,,,,,11.11111111,22.22222222,22.22222222,,22.22222222,22.22222222,,,,,,,,,,,,,74,BCC,6.8,,C,1473,,32,
312,Mo0.7NbTiVZr,,,,,,,14.89361702,21.27659574,21.27659574,,21.27659574,21.27659574,,,,,,,,,,,,,74,BCC,7.0,,C,1706,,32,
313,MoNbTiVZr,,,,,,,20,20,20,,20,20,,,,,,,,,,,,,74,BCC,7.1,,C,1779,,32,
314,Mo1.3NbTiVZr,,,,,,,24.52830189,18.86792453,18.86792453,,18.86792453,18.86792453,,,,,,,,,,,,,74,BCC,7.3,,C,1496,,30,
315,Mo1.5NbTiVZr,,,,,,,27.27272727,18.18181818,18.18181818,,18.18181818,18.18181818,,,,,,,,,,,,,74,BCC,7.4,,C,1603,,20,
316,Mo1.7NbTiVZr,,,,,,,29.8245614,17.54385965,17.54385965,,17.54385965,17.54385965,,,,,,,,,,,,,74,BCC,7.5,,C,1645,,15,
317,Mo2NbTiVZr,,,,,,,33.33333333,16.66666667,16.66666667,,16.66666667,16.66666667,,,,,,,,,,,,,74,BCC,7.6,,C,1765,,12,
318,MoNbTiV0.25Zr,,,,,,,23.52941176,23.52941176,23.52941176,,5.882352941,23.52941176,,,,,,,,,,,,,75,BCC,7.3,,C,1776,3893,30,153
319,MoNbTiV0.50Zr,,,,,,,22.22222222,22.22222222,22.22222222,,11.11111111,22.22222222,,,,,,,,,,,,,75,BCC,7.2,,C,1647,3307,28,152
320,MoNbTiV0.75Zr,,,,,,,21.05263158,21.05263158,21.05263158,,15.78947368,21.05263158,,,,,,,,,,,,,75,BCC,7.2,,C,1708,3929,29,150
321,MoNbTiV1.0Zr,,,,,,,20,20,20,,20,20,,,,,,,,,,,,,75,BCC,7.1,,C,1786,3828,26,149
322,MoNbTiV1.5Zr,,,,,,,18.18181818,18.18181818,18.18181818,,27.27272727,18.18181818,,,,,,,,,,,,,75,BCC,7.1,,C,1735,3300,20,147
